Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
864.0,405.0,34.0,19.0,47,77,6
653.0,312.0,37.0,16.0,6,47,6
811.0,448.0,31.0,16.0,27,47,6
632.0,445.0,44.0,25.0,47,61,6
894.0,450.0,51.0,15.0,66,69,6
1688.0,900.0,45.0,18.0,38,66,6
664.0,423.0,20.0,10.0,11,33,6
385.0,258.0,29.0,15.0,3,47,6
584.0,243.0,39.0,38.0,22,47,6
519.0,359.0,37.0,21.0,43,47,6
566.0,382.0,36.0,20.0,36,47,6
1086.0,420.0,29.0,13.0,41,69,6
606.0,419.0,40.0,23.0,39,47,6
1033.0,801.0,35.0,13.0,34,69,6
832.0,308.0,23.0,13.0,20,45,6
558.0,651.0,19.0,9.0,1,69,6
4843.0,1598.0,46.0,19.0,55,69,6
994.0,347.0,26.0,11.0,20,69,6
